,0
476,16.0
477,8.0
478,61.0
479,13.0
480,34.0
481,13.0
482,13.0
483,14.0
484,16.0
485,36.0
486,40.0
487,18.0
488,13.0
489,38.0
490,10.0
491,50.0
492,17.0
493,15.0
494,33.0
495,21.0
496,32.0
497,10.0
498,21.0
499,14.0
500,14.0
501,33.0
502,14.0
503,38.0
504,34.0
505,26.0
506,45.0
507,81.0
508,39.0
509,32.0
510,17.0
511,16.0
512,25.0
513,45.0
514,47.0
515,37.0
516,15.0
517,25.0
518,14.0
519,23.0
520,44.0
521,32.0
522,30.0
523,27.0
524,39.0
525,12.0
526,63.0
527,44.0
528,12.0
529,18.0
530,23.0
531,36.0
532,16.0
533,18.0
534,15.0
535,45.0
536,13.0
537,41.0
538,35.0
539,21.0
540,18.0
541,49.0
542,80.0
543,24.0
544,22.0
545,14.0
546,10.0
547,14.0
548,17.0
549,11.0
550,50.0
551,14.0
552,14.0
553,14.0
554,44.0
555,22.0
556,64.0
557,16.0
558,24.0
559,52.0
560,26.0
561,33.0
562,15.0
563,48.0
564,46.0
565,22.0
566,12.0
567,15.0
568,30.0
569,11.0
570,37.0
571,32.0
572,24.0
573,33.0
574,22.0
575,19.0
576,21.0
577,63.0
578,20.0
579,14.0
580,45.0
581,24.0
582,22.0
583,18.0
584,22.0
585,24.0
586,23.0
587,28.0
588,17.0
589,26.0
590,12.0
591,17.0
592,17.0
593,27.0
594,43.0
595,48.0
596,38.0
597,38.0
598,37.0
599,11.0
600,65.0
601,11.0
602,19.0
603,37.0
604,16.0
605,33.0
606,28.0
607,16.0
608,35.0
609,29.0
610,38.0
611,27.0
612,21.0
613,27.0
614,31.0
615,41.0
616,16.0
617,14.0
618,22.0
619,21.0
620,20.0
621,31.0
622,16.0
623,34.0
624,15.0
625,16.0
626,22.0
627,10.0
628,16.0
629,15.0
630,23.0
631,22.0
632,46.0
633,19.0
634,30.0
635,18.0
636,16.0
637,48.0
638,14.0
639,35.0
640,21.0
641,66.0
642,24.0
643,25.0
644,20.0
645,33.0
646,42.0
647,26.0
648,11.0
649,58.0
650,41.0
651,15.0
652,77.0
653,19.0
654,18.0
655,10.0
656,18.0
657,49.0
658,73.0
659,87.0
660,28.0
661,25.0
662,43.0
663,14.0
664,10.0
665,25.0
666,16.0
667,31.0
668,16.0
669,20.0
670,51.0
671,21.0
672,16.0
673,15.0
674,31.0
675,66.0
676,30.0
677,11.0
678,48.0
679,30.0
680,24.0
681,15.0
682,12.0
683,43.0
684,23.0
685,56.0
686,21.0
687,18.0
688,17.0
689,42.0
690,28.0
691,13.0
692,16.0
693,60.0
694,20.0
695,22.0
696,28.0
697,21.0
698,18.0
699,15.0
700,26.0
701,33.0
702,21.0
703,18.0
704,70.0
705,17.0
706,22.0
707,25.0
708,24.0
709,11.0
710,16.0
711,13.0
712,19.0
713,28.0
714,17.0
715,12.0
716,26.0
717,20.0
718,22.0
719,29.0
720,21.0
721,28.0
722,17.0
723,53.0
724,17.0
725,37.0
726,15.0
727,24.0
728,26.0
729,84.0
730,11.0
731,15.0
732,59.0
733,23.0
734,38.0
735,30.0
736,35.0
737,54.0
738,39.0
739,37.0
740,20.0
741,14.0
742,52.0
743,24.0
744,24.0
745,10.0
746,40.0
747,29.0
748,46.0
749,21.0
750,20.0
751,29.0
752,22.0
753,19.0
754,15.0
755,29.0
756,29.0
757,14.0
758,19.0
759,84.0
760,33.0
761,26.0
762,20.0
763,11.0
764,51.0
765,22.0
766,26.0
767,21.0
768,19.0
769,56.0
770,39.0
771,24.0
772,98.0
773,29.0
774,61.0
775,16.0
776,36.0
777,18.0
778,32.0
779,73.0
780,27.0
781,58.0
782,30.0
783,24.0
784,26.0
785,14.0
786,19.0
787,19.0
788,17.0
789,36.0
790,34.0
791,62.0
792,55.0
793,43.0
794,14.0
795,87.0
796,59.0
797,31.0
798,16.0
799,23.0
800,13.0
801,18.0
802,19.0
803,14.0
804,18.0
805,31.0
806,54.0
807,17.0
808,37.0
809,11.0
810,16.0
811,23.0
812,49.0
813,39.0
814,18.0
815,60.0
816,29.0
817,16.0
818,15.0
819,16.0
820,24.0
821,12.0
822,25.0
823,34.0
824,30.0
825,15.0
826,58.0
827,57.0
828,79.0
829,13.0
830,26.0
831,43.0
832,39.0
833,18.0
834,53.0
835,28.0
836,21.0
837,66.0
838,20.0
839,10.0
840,15.0
841,45.0
842,18.0
843,23.0
844,148.0
845,25.0
846,15.0
847,12.0
848,25.0
849,38.0
850,29.0
851,46.0
852,19.0
853,26.0
854,30.0
855,42.0
856,79.0
857,29.0
858,50.0
859,61.0
860,16.0
861,46.0
862,30.0
863,12.0
864,20.0
865,20.0
866,28.0
867,39.0
868,19.0
869,12.0
870,36.0
871,16.0
872,22.0
873,30.0
874,66.0
875,41.0
876,15.0
877,28.0
878,27.0
879,15.0
880,15.0
881,20.0
882,31.0
883,12.0
884,19.0
885,22.0
886,33.0
887,19.0
888,29.0
889,20.0
890,54.0
891,41.0
892,36.0
893,61.0
894,34.0
895,93.0
896,63.0
897,26.0
898,27.0
899,26.0
900,141.0
901,29.0
902,11.0
903,39.0
904,23.0
905,19.0
906,18.0
907,24.0
908,31.0
909,16.0
910,75.0
911,40.0
912,87.0
913,18.0
914,54.0
915,49.0
916,33.0
917,27.0
918,22.0
919,50.0
920,29.0
921,34.0
922,59.0
923,23.0
924,62.0
925,34.0
926,35.0
927,38.0
928,63.0
929,31.0
930,14.0
931,49.0
932,60.0
933,32.0
934,12.0
935,111.0
936,57.0
937,29.0
938,87.0
939,90.0
940,31.0
941,47.0
942,48.0
943,30.0
944,19.0
945,16.0
946,26.0
947,19.0
948,13.0
949,21.0
950,28.0
951,10.0
952,75.0
953,59.0
954,40.0
955,38.0
956,20.0
957,69.0
958,48.0
959,21.0
960,105.0
961,58.0
962,21.0
963,15.0
964,84.0
965,68.0
966,23.0
967,54.0
968,42.0
969,62.0
970,63.0
971,39.0
972,135.0
973,20.0
974,27.0
975,81.0
976,10.0
977,17.0
978,27.0
979,61.0
980,17.0
981,49.0
982,25.0
983,72.0
984,39.0
985,30.0
986,24.0
987,19.0
988,45.0
989,48.0
990,15.0
991,59.0
992,60.0
993,24.0
994,30.0
995,19.0
996,13.0
997,16.0
998,37.0
999,13.0
1000,33.0
1001,31.0
1002,32.0
1003,12.0
1004,62.0
1005,93.0
1006,18.0
1007,56.0
1008,10.0
1009,17.0
1010,59.0
1011,25.0
1012,15.0
1013,55.0
1014,14.0
1015,28.0
1016,19.0
1017,33.0
1018,22.0
1019,20.0
1020,21.0
1021,21.0
1022,30.0
1023,76.0
1024,38.0
1025,25.0
1026,18.0
1027,74.0
1028,43.0
1029,72.0
1030,24.0
1031,45.0
1032,41.0
1033,37.0
1034,94.0
1035,28.0
1036,47.0
1037,52.0
1038,28.0
1039,46.0
1040,29.0
1041,34.0
1042,20.0
1043,78.0
1044,37.0
1045,94.0
1046,24.0
1047,99.0
1048,20.0
1049,52.0
1050,33.0
1051,13.0
1052,29.0
1053,23.0
1054,23.0
1055,62.0
1056,51.0
1057,17.0
1058,60.0
1059,37.0
1060,26.0
1061,37.0
1062,24.0
1063,28.0
1064,57.0
1065,22.0
1066,82.0
1067,12.0
1068,23.0
1069,20.0
1070,17.0
1071,16.0
1072,64.0
1073,21.0
1074,13.0
1075,35.0
1076,11.0
1077,24.0
1078,18.0
1079,58.0
1080,29.0
1081,16.0
1082,58.0
1083,16.0
1084,31.0
1085,104.0
1086,23.0
1087,29.0
1088,28.0
1089,18.0
1090,70.0
1091,23.0
1092,19.0
1093,54.0
1094,78.0
1095,44.0
1096,28.0
1097,104.0
1098,74.0
1099,71.0
1100,74.0
1101,16.0
1102,20.0
1103,37.0
1104,20.0
1105,21.0
1106,8.0
1107,22.0
1108,34.0
1109,44.0
1110,38.0
1111,40.0
1112,28.0
1113,20.0
1114,70.0
1115,25.0
1116,76.0
1117,43.0
1118,13.0
1119,20.0
1120,38.0
1121,24.0
1122,15.0
1123,17.0
1124,35.0
1125,22.0
1126,20.0
1127,31.0
1128,43.0
1129,18.0
1130,35.0
1131,38.0
1132,15.0
1133,14.0
1134,99.0
1135,114.0
1136,22.0
1137,32.0
1138,46.0
1139,72.0
1140,23.0
1141,76.0
1142,57.0
1143,14.0
1144,46.0
1145,122.0
1146,33.0
1147,72.0
1148,31.0
1149,27.0
1150,54.0
1151,43.0
1152,33.0
1153,51.0
1154,68.0
1155,47.0
1156,21.0
1157,33.0
1158,35.0
1159,50.0
1160,56.0
1161,85.0
1162,27.0
1163,63.0
1164,22.0
1165,41.0
1166,35.0
1167,72.0
1168,20.0
1169,19.0
1170,33.0
1171,36.0
1172,16.0
1173,30.0
1174,26.0
1175,66.0
1176,19.0
1177,20.0
1178,29.0
1179,27.0
1180,43.0
1181,33.0
1182,26.0
1183,34.0
1184,29.0
1185,74.0
1186,26.0
1187,23.0
1188,27.0
1189,33.0
1190,39.0
1191,53.0
1192,33.0
1193,11.0
1194,39.0
1195,81.0
1196,20.0
1197,58.0
1198,30.0
1199,35.0
1200,19.0
1201,42.0
1202,26.0
1203,45.0
1204,16.0
1205,28.0
1206,47.0
1207,23.0
1208,14.0
1209,25.0
1210,78.0
1211,86.0
1212,14.0
1213,18.0
1214,28.0
1215,15.0
1216,12.0
1217,22.0
1218,32.0
1219,36.0
1220,78.0
1221,62.0
1222,35.0
1223,29.0
1224,62.0
1225,22.0
1226,17.0
1227,13.0
1228,50.0
1229,77.0
1230,17.0
1231,36.0
1232,49.0
1233,79.0
1234,34.0
1235,31.0
1236,88.0
1237,60.0
1238,57.0
1239,40.0
1240,19.0
1241,17.0
1242,49.0
1243,23.0
1244,33.0
1245,48.0
1246,19.0
1247,15.0
1248,18.0
1249,43.0
1250,74.0
1251,18.0
1252,48.0
1253,46.0
1254,98.0
1255,21.0
1256,14.0
1257,89.0
1258,31.0
1259,84.0
1260,97.0
1261,18.0
1262,59.0
1263,148.0
1264,78.0
1265,23.0
1266,22.0
1267,20.0
1268,55.0
1269,20.0
1270,28.0
1271,27.0
1272,41.0
1273,92.0
1274,61.0
1275,63.0
1276,31.0
1277,36.0
1278,42.0
1279,66.0
1280,56.0
1281,62.0
1282,48.0
1283,16.0
1284,31.0
1285,61.0
1286,31.0
1287,22.0
1288,50.0
1289,56.0
1290,61.0
1291,68.0
1292,36.0
1293,13.0
1294,59.0
1295,63.0
1296,30.0
1297,82.0
1298,47.0
1299,45.0
1300,40.0
1301,59.0
1302,42.0
1303,32.0
1304,21.0
1305,24.0
1306,42.0
1307,20.0
1308,16.0
1309,27.0
1310,55.0
1311,32.0
1312,21.0
1313,62.0
1314,61.0
1315,34.0
1316,57.0
1317,24.0
1318,158.0
1319,32.0
1320,56.0
1321,25.0
1322,126.0
1323,62.0
1324,38.0
1325,34.0
1326,31.0
1327,29.0
1328,19.0
1329,25.0
1330,35.0
1331,23.0
1332,27.0
1333,15.0
1334,32.0
1335,47.0
1336,64.0
1337,63.0
1338,32.0
1339,29.0
1340,29.0
1341,53.0
1342,29.0
1343,35.0
1344,48.0
1345,31.0
1346,132.0
1347,17.0
1348,100.0
1349,10.0
1350,67.0
1351,69.0
1352,48.0
1353,32.0
1354,44.0
1355,64.0
1356,17.0
1357,27.0
1358,53.0
1359,35.0
1360,28.0
1361,37.0
1362,17.0
1363,20.0
1364,117.0
1365,100.0
1366,33.0
1367,43.0
1368,62.0
1369,115.0
1370,34.0
1371,52.0
1372,38.0
1373,39.0
1374,66.0
1375,21.0
1376,60.0
1377,21.0
1378,91.0
1379,27.0
1380,26.0
1381,135.0
1382,25.0
1383,59.0
1384,20.0
1385,104.0
1386,37.0
1387,36.0
1388,30.0
1389,17.0
1390,43.0
1391,45.0
1392,54.0
1393,149.0
1394,28.0
1395,24.0
1396,32.0
1397,24.0
1398,16.0
1399,23.0
1400,120.0
1401,49.0
1402,19.0
1403,31.0
1404,34.0
1405,30.0
1406,32.0
1407,45.0
1408,30.0
1409,21.0
1410,72.0
1411,104.0
1412,18.0
1413,37.0
1414,34.0
1415,13.0
1416,34.0
1417,134.0
1418,94.0
1419,83.0
1420,105.0
1421,16.0
1422,92.0
1423,41.0
1424,78.0
1425,43.0
1426,19.0
1427,97.0
1428,77.0
1429,14.0
1430,23.0
1431,17.0
1432,29.0
1433,34.0
