,0
532,35.0
533,53.0
534,157.0
535,49.0
536,82.0
537,84.0
538,40.0
539,39.0
540,82.0
541,78.0
542,43.0
543,88.0
544,11.0
545,97.0
546,114.0
547,72.0
548,110.0
549,54.0
550,120.0
551,200.0
552,117.0
553,54.0
554,108.0
555,60.0
556,130.0
557,189.0
558,83.0
559,84.0
560,33.0
561,38.0
562,31.0
563,87.0
564,101.0
565,51.0
566,104.0
567,31.0
568,152.0
569,25.0
570,16.0
571,43.0
572,11.0
573,66.0
574,42.0
575,44.0
576,76.0
577,88.0
578,123.0
579,96.0
580,10.0
581,161.0
582,125.0
583,76.0
584,77.0
585,101.0
586,129.0
587,53.0
588,93.0
589,186.0
590,137.0
591,119.0
592,102.0
593,55.0
594,63.0
595,140.0
596,59.0
597,87.0
598,179.0
599,64.0
600,121.0
601,119.0
602,28.0
603,109.0
604,95.0
605,49.0
606,43.0
607,192.0
608,50.0
609,199.0
610,71.0
611,114.0
612,142.0
613,200.0
614,43.0
615,84.0
616,147.0
617,113.0
618,35.0
619,124.0
620,76.0
621,200.0
622,71.0
623,111.0
624,200.0
625,189.0
626,107.0
627,106.0
628,62.0
629,95.0
630,200.0
631,143.0
632,82.0
633,50.0
634,183.0
635,129.0
636,125.0
637,12.0
638,152.0
639,23.0
640,16.0
641,34.0
642,88.0
643,116.0
644,43.0
645,171.0
646,106.0
647,136.0
648,63.0
649,35.0
650,57.0
651,50.0
652,109.0
653,85.0
654,29.0
655,76.0
656,71.0
657,42.0
658,48.0
659,111.0
660,113.0
661,50.0
662,119.0
663,129.0
664,60.0
665,59.0
666,50.0
667,55.0
668,175.0
669,29.0
670,35.0
671,50.0
672,21.0
673,147.0
674,56.0
675,167.0
676,170.0
677,53.0
678,200.0
679,126.0
680,121.0
681,52.0
682,54.0
683,86.0
684,78.0
685,62.0
686,110.0
687,136.0
688,62.0
689,70.0
690,44.0
691,195.0
692,100.0
693,33.0
694,77.0
695,45.0
696,10.0
697,118.0
698,27.0
699,47.0
700,119.0
701,47.0
702,85.0
703,36.0
704,46.0
705,71.0
706,45.0
707,99.0
708,34.0
709,88.0
710,48.0
711,100.0
712,100.0
713,43.0
714,32.0
715,35.0
716,29.0
717,30.0
718,123.0
719,151.0
720,103.0
721,127.0
722,33.0
723,146.0
724,103.0
725,54.0
726,52.0
727,74.0
728,81.0
729,200.0
730,100.0
731,91.0
732,65.0
733,31.0
734,13.0
735,132.0
736,34.0
737,143.0
738,119.0
739,78.0
740,19.0
741,31.0
742,29.0
743,67.0
744,14.0
745,56.0
746,53.0
747,28.0
748,66.0
749,13.0
750,103.0
751,103.0
752,123.0
753,198.0
754,52.0
755,96.0
756,15.0
757,88.0
758,76.0
759,21.0
760,119.0
761,98.0
762,149.0
763,200.0
764,24.0
765,24.0
766,64.0
767,14.0
768,57.0
769,30.0
770,185.0
771,117.0
772,200.0
773,130.0
774,67.0
775,146.0
776,126.0
777,100.0
778,200.0
779,86.0
780,114.0
781,44.0
782,67.0
783,62.0
784,123.0
785,91.0
786,69.0
787,160.0
788,174.0
789,82.0
790,110.0
791,164.0
792,116.0
793,120.0
794,71.0
795,127.0
796,117.0
797,94.0
798,56.0
799,64.0
800,18.0
801,33.0
802,14.0
803,61.0
804,163.0
805,43.0
806,45.0
807,117.0
808,200.0
809,19.0
810,178.0
811,64.0
812,77.0
813,104.0
814,46.0
815,121.0
816,58.0
817,22.0
818,87.0
819,50.0
820,127.0
821,60.0
822,43.0
823,36.0
824,82.0
825,62.0
826,57.0
827,44.0
828,47.0
829,64.0
830,51.0
831,61.0
832,78.0
833,51.0
834,133.0
835,42.0
836,23.0
837,117.0
838,109.0
839,120.0
840,185.0
841,93.0
842,105.0
843,30.0
844,133.0
845,36.0
846,11.0
847,85.0
848,46.0
849,177.0
850,66.0
851,29.0
852,13.0
853,61.0
854,36.0
855,14.0
856,26.0
857,76.0
858,29.0
859,20.0
860,14.0
861,69.0
862,17.0
863,17.0
864,85.0
865,96.0
866,139.0
867,193.0
868,111.0
869,136.0
870,106.0
871,98.0
872,126.0
873,18.0
874,19.0
875,46.0
876,29.0
877,90.0
878,154.0
879,175.0
880,105.0
881,78.0
882,101.0
883,97.0
884,73.0
885,103.0
886,77.0
887,86.0
888,65.0
889,11.0
890,68.0
891,168.0
892,10.0
893,105.0
894,104.0
895,115.0
896,39.0
897,28.0
898,35.0
899,68.0
900,66.0
901,36.0
902,73.0
903,146.0
904,78.0
905,143.0
906,104.0
907,79.0
908,117.0
909,30.0
910,63.0
911,38.0
912,100.0
913,24.0
914,162.0
915,69.0
916,81.0
917,56.0
918,181.0
919,108.0
920,39.0
921,82.0
922,60.0
923,92.0
924,102.0
925,128.0
926,72.0
927,60.0
928,153.0
929,29.0
930,70.0
931,63.0
932,88.0
933,33.0
934,74.0
935,97.0
936,70.0
937,94.0
938,20.0
939,17.0
940,34.0
941,17.0
942,95.0
943,178.0
944,58.0
945,123.0
946,30.0
947,59.0
948,56.0
949,83.0
950,109.0
951,96.0
952,172.0
953,13.0
954,146.0
955,111.0
956,140.0
957,34.0
958,138.0
959,200.0
960,178.0
961,161.0
962,76.0
963,111.0
964,57.0
965,200.0
966,85.0
967,165.0
968,109.0
969,60.0
970,19.0
971,77.0
972,74.0
973,96.0
974,25.0
975,77.0
976,64.0
977,168.0
978,200.0
979,61.0
980,76.0
981,93.0
982,122.0
983,101.0
984,60.0
985,145.0
986,76.0
987,200.0
988,118.0
989,93.0
990,42.0
991,67.0
992,33.0
993,87.0
994,88.0
995,19.0
996,61.0
997,118.0
998,52.0
999,72.0
1000,48.0
1001,61.0
1002,88.0
1003,74.0
1004,198.0
1005,106.0
1006,65.0
1007,90.0
1008,66.0
1009,75.0
1010,100.0
1011,32.0
1012,79.0
1013,171.0
1014,53.0
1015,47.0
1016,49.0
1017,56.0
1018,95.0
1019,108.0
1020,85.0
1021,84.0
1022,58.0
1023,105.0
1024,66.0
1025,57.0
1026,60.0
1027,86.0
1028,47.0
1029,139.0
