,0
532,27.0
533,30.0
534,22.0
535,15.0
536,30.0
537,22.0
538,10.0
539,20.0
540,17.0
541,21.0
542,17.0
543,18.0
544,14.0
545,25.0
546,14.0
547,27.0
548,64.0
549,55.0
550,13.0
551,17.0
552,21.0
553,48.0
554,13.0
555,21.0
556,46.0
557,22.0
558,12.0
559,12.0
560,11.0
561,22.0
562,11.0
563,11.0
564,38.0
565,18.0
566,13.0
567,20.0
568,12.0
569,16.0
570,19.0
571,64.0
572,75.0
573,22.0
574,22.0
575,30.0
576,33.0
577,16.0
578,15.0
579,15.0
580,13.0
581,50.0
582,62.0
583,29.0
584,19.0
585,18.0
586,55.0
587,10.0
588,38.0
589,16.0
590,41.0
591,12.0
592,14.0
593,21.0
594,25.0
595,44.0
596,24.0
597,17.0
598,47.0
599,18.0
600,13.0
601,50.0
602,28.0
603,18.0
604,11.0
605,10.0
606,29.0
607,11.0
608,13.0
609,24.0
610,12.0
611,16.0
612,20.0
613,56.0
614,93.0
615,18.0
616,11.0
617,17.0
618,38.0
619,30.0
620,16.0
621,10.0
622,28.0
623,28.0
624,18.0
625,27.0
626,25.0
627,12.0
628,13.0
629,12.0
630,31.0
631,15.0
632,22.0
633,12.0
634,34.0
635,19.0
636,18.0
637,21.0
638,19.0
639,31.0
640,59.0
641,14.0
642,18.0
643,13.0
644,16.0
645,16.0
646,19.0
647,25.0
648,14.0
649,13.0
650,25.0
651,22.0
652,24.0
653,15.0
654,31.0
655,12.0
656,17.0
657,35.0
658,17.0
659,22.0
660,11.0
661,12.0
662,43.0
663,40.0
664,19.0
665,16.0
666,18.0
667,46.0
668,10.0
669,25.0
670,14.0
671,20.0
672,32.0
673,13.0
674,18.0
675,38.0
676,13.0
677,16.0
678,25.0
679,10.0
680,21.0
681,10.0
682,41.0
683,19.0
684,15.0
685,19.0
686,10.0
687,26.0
688,33.0
689,17.0
690,24.0
691,18.0
692,11.0
693,11.0
694,43.0
695,101.0
696,19.0
697,18.0
698,48.0
699,13.0
700,22.0
701,20.0
702,14.0
703,40.0
704,23.0
705,16.0
706,23.0
707,21.0
708,53.0
709,9.0
710,21.0
711,26.0
712,13.0
713,21.0
714,11.0
715,14.0
716,19.0
717,13.0
718,28.0
719,17.0
720,32.0
721,15.0
722,11.0
723,15.0
724,16.0
725,17.0
726,19.0
727,17.0
728,12.0
729,12.0
730,18.0
731,16.0
732,9.0
733,14.0
734,10.0
735,23.0
736,12.0
737,25.0
738,20.0
739,21.0
740,21.0
741,42.0
742,31.0
743,17.0
744,31.0
745,21.0
746,10.0
747,34.0
748,28.0
749,41.0
750,23.0
751,99.0
752,21.0
753,16.0
754,38.0
755,14.0
756,25.0
757,22.0
758,31.0
759,21.0
760,23.0
761,18.0
762,9.0
763,36.0
764,19.0
765,45.0
766,13.0
767,24.0
768,18.0
769,32.0
770,22.0
771,28.0
772,37.0
773,23.0
774,14.0
775,17.0
776,12.0
777,23.0
778,14.0
779,22.0
780,63.0
781,12.0
782,18.0
783,26.0
784,62.0
785,20.0
786,17.0
787,29.0
788,17.0
789,31.0
790,17.0
791,17.0
792,28.0
793,18.0
794,24.0
795,9.0
796,12.0
797,39.0
798,13.0
799,25.0
800,17.0
801,18.0
802,18.0
803,11.0
804,12.0
805,20.0
806,25.0
807,33.0
808,15.0
809,12.0
810,21.0
811,18.0
812,12.0
813,40.0
814,42.0
815,12.0
816,24.0
817,16.0
818,22.0
819,20.0
820,19.0
821,26.0
822,23.0
823,14.0
824,41.0
825,36.0
826,71.0
827,13.0
828,36.0
829,13.0
830,14.0
831,17.0
832,11.0
833,26.0
834,11.0
835,13.0
836,30.0
837,40.0
838,17.0
839,12.0
840,22.0
841,13.0
842,18.0
843,16.0
844,12.0
845,30.0
846,13.0
847,20.0
848,44.0
849,33.0
850,12.0
851,15.0
852,23.0
853,14.0
854,35.0
855,10.0
856,11.0
857,28.0
858,23.0
859,25.0
860,15.0
861,19.0
862,36.0
863,28.0
864,16.0
865,25.0
866,41.0
867,20.0
868,25.0
869,41.0
870,17.0
871,35.0
872,22.0
873,17.0
874,13.0
875,13.0
876,19.0
877,52.0
878,12.0
879,14.0
880,28.0
881,31.0
882,14.0
883,35.0
884,20.0
885,10.0
886,24.0
887,16.0
888,16.0
889,22.0
890,17.0
891,14.0
892,12.0
893,14.0
894,20.0
895,17.0
896,12.0
897,36.0
898,12.0
899,15.0
900,15.0
901,26.0
902,25.0
903,17.0
904,23.0
905,28.0
906,30.0
907,9.0
908,17.0
909,20.0
910,42.0
911,12.0
912,21.0
913,20.0
